id,symbol,status,date,period,price_at_analysis,position_bias,directional_bias,entry_range,target_range,re_evaluation_level,briefing_notes,result_text,outcome,inactive_datetime
706,FCX,Inactive,2024-03-27T16:33:30.681Z,Short-Term (1-3 weeks),45.31,Long,None,44.59 - 44.01,46.4 - 46.85,< 43.42,Weekly analysis suggests that FCX is late in an intermediate-term rising phase. Low due 4/15 - 5/20. Momentum remains firmly positive. Daily analysis suggests that FCX is due to form low 3/21 - 4/4. Please review the trade idea video for walkthrough of the analysis.,FCX idea hit the target zone. This timing was in line with COPX (copper miners ETF) and /HG.,Target Zone Reached (Early / Missed Entry),2024-03-28T19:04:00Z
705,AAPL,Inactive,2024-03-22T17:55:02.425Z,Short-Term (1-3 weeks),172.42,Short,None,174.39 - 178.03,168.5 - 164.73,> 178.67,Weekly analysis suggests that AAPL is late in a corrective period. The weekly low is due 4/29 - 6/17. Daily analysis suggests that AAPL is showing signs of an early daily cycle high. This would only be confirmed on a move through 168.50. Please review the trade idea video for a walkthrough of the analysis.,AAPL only traded to within 0.4% of favorable and has now traded to target. There is an LHT forming on the daily cycle (early daily cycle high and expecting a series of lower highs and lower lows into the next daily low - due in mid May). This will remain on our go-to list on the short side until we see a shift in daily Ribbon to the upside.,Target Zone Reached (Early / Missed Entry),2024-04-02T14:02:55Z
704,ABNB,Inactive,2024-03-22T17:40:46.495Z,Short-Term (1-3 weeks),168.29,Long,None,164.77 - 161.47,172.88 - 175.88,< 160.16,Weekly analysis suggests that ABNB is late in a rising phase. Momentum remains positive. Low due 4/8 - 5/27. Daily analysis suggests that ABNB is early in a short-term rising phase. SlimRibbon and ReversalScout are positive. Please review video walkthrough for analysis.,ABNB is not showing the lift off the support as expected. Pulling it as it trades at top of favorable.,Pending / Inactive,2024-04-01T14:29:01Z
703,MELI,Inactive,2024-03-15T14:12:25.174Z,Short-Term (1-3 weeks),1556.48,Short,None,1567.55 - 1606.67,1483.64 - 1402.31,> 1634.52,Weekly analysis suggests that MELI is in a corrective period. Low due 4/29 - 6/17. Daily analysis suggests that MELI is in a short-term corrective period (and a left hand translation). Next low due 4/1 - 4/11. Video walkthrough provided.,Conditions for this idea have been satisfied. MELI traded into favorable and has now traded into the target zone.,Target Zone Reached,2024-03-19T15:36:25Z
702,TAN,Inactive,2024-03-14T18:37:47.825Z,Intermediate-Term (3-8 weeks),42.89,Short,None,44.04 - 45.64,40.15 - 39.29,> 46.78,Weekly analysis suggests that TAN is in a peaking phase. Momentum mildly positive and curling over. Next low due 5/6 - 6/17. Daily analysis suggests that TAN has formed a peak and is entering into a short-term corrective period. SlimRibbon is now neutral. We want to see it turn red in the coming daily. Trade Idea walk through is available.,TAN remains at base of favorable - lack of trend continuation here. Will remove it and monitor.,Pending / Inactive,2024-03-27T14:23:06Z
701,URA,Inactive,2024-03-12T17:59:11.778Z,Short-Term (1-3 weeks),28.13,Short,None,28.58 - 29.13,26.83 - 26.61,> 29.67,Weekly analysis indicates that URA is in a corrective period - momentum is still negative. Low due 3/4 - 4/15. Daily analysis suggests that URA is in a peaking phase. SlimRibbon is bearish -  ReversalScout is positive. Watching for rally attempts to fail. Video walkthrough provided.,Conditions satisfied for trade idea. Traded into favorable and now into target. We remain late in weekly corrective period. Will watch for rally attempts to establish another idea for a key low to form in late Mar early Apr.,Target Zone Reached,2024-03-14T14:37:24Z
700,AAPL,Inactive,2024-02-28T20:26:50.415Z,Short-Term (1-3 weeks),180.65,Short,None,181.64 - 182.94,177.62 - 173.94,> 185.04,Weekly analysis suggests that AAPL is in a corrective period. Daily analysis suggests that AAPL is in a corrective period. S-T low due 3/11 - 3/20. In this trade idea we are looking at the 4hr SlimRibbon and expecting attempts into the ribbon to fail. The favorable is a minor 38.2 to 61.8. Re-eval occurs on a daily close through the recent swing high. Targeting a minor Fib extension zone. Trade idea video walkthrough is available. Please note we have had now 6 tests of the 180 level - good odds there are stops below. We would therefore IF the stock can get below 180 and hold below we would expect to see some acceleration on the downside.,Conditions for this idea have been satisfied. AAPL trades into favorable zone and has now traded into target,Target Zone Reached,2024-03-01T16:07:26Z
699,XLP,Inactive,2024-02-22T21:41:36.338Z,Short-Term (1-3 weeks),74.55,Long,None,74.09 - 73.43,75.78 - 76.72,< 72.96,Weekly analysis suggests that XLP is in a rising phase momentum is positive. Daily analysis suggests that the XLP is in a short-term rising phase. The SlimRibbon and ReversalScout daily are positive. The favorable zone is a rising minor support zone (38.2 to 61.8). Re-evaluation occurs on a daily close below the 78.6. Targeting a short-term 78.6 - 100% Fib extension zone. Trade idea walkthrough is available. Updated rising minor supports 2/23.,"XLP remains above favorable however the established target looks too optimistic based on the recent price action. The daily 61.8 extension at 75.08 would be more reasonable. However, lowering the target to the 61.8 would compromise the risk/reward on the idea. Given this background we will inactivate the idea.",Pending / Inactive,2024-03-01T18:04:45Z
698,BLOK,Inactive,2024-02-22T18:57:38.797Z,Short-Term (1-3 weeks),31.68,Long,None,30.53 - 29.77,33.01 - 34.09,< 29.0,Weekly analysis suggests that BLOK is in a rising phase momentum is positive. Daily analysis suggests that BLOK is in a bottoming phase. Low due 2/21 - 2/29. We are testing a rising minor support zone. Favorable is a minor 38.2 to 50. Re-evaluation occurs on a move through the 61.8. Targeting prior daily cycle high and intermediate-term 61.8 fib extension. Trade idea video walkthrough is provided in the BLOK post below.,BLOK is now in the target zone.,Target Zone Reached (Early / Missed Entry),2024-02-27T15:13:13Z
697,AA,Inactive,2024-02-16T15:35:32.148Z,Short-Term (1-3 weeks),27.78,Short,None,27.78 - 28.47,24.53 - 22.67,> 29.15,Weekly analysis suggests that AA is late in an intermediate-term corrective period. Low is due 2/19 - 4/8. Daily analysis suggests that AA is in a left hand translation. Next daily low due early April. SlimRibbon and ReversalScout daily are negatively configured. Expecting it to fail between the 38.2 to 50% Fib retracement. Close over the 61.8 invalidates the idea. Targeting a 78.6 - 100% Fib extension zone (blue shaded box in the trade idea analysis). Walkthrough is available.,AA idea was up around 5.5% and is now bouncing back to the base of favorable. Removing it here. Keeping a tight leash on all ideas that are showing signs of faltering.,Pending / Inactive,2024-02-21T18:29:38Z
695,F,Inactive,2024-02-15T19:51:35.273Z,Short-Term (1-3 weeks),12.46,Long,None,12.21 - 11.95,13.08 - 13.69,< 11.68,Weekly analysis suggests that F is in a rising phase. Momentum is positive. Daily analysis suggests that F is in a rising phase. There is a minor low due right around now. Targeting a short-term 78.6 - 100% Fib extension zone. Favorable is the 38.2 to 50. Re-evaluation occurs on move through 61.8.,Removing F trade ideas as it holds just above favorable. There was no reaction as it tested the favorable.,Pending / Inactive,2024-02-21T15:46:13Z
694,XME,Inactive,2024-02-15T16:06:15.158Z,Short-Term (1-3 weeks),56.55,Short,None,57.13 - 58.02,53.42 - 51.94,> 58.91,Weekly analysis suggests that XME is in a corrective phase momentum is negative. Low due 2/26 - 4/22. Daily analysis suggests that XME is in a short-term corrective phase. SlimRibbon and ReversalScout are negative on the daily timeframe. Favorable is an intermediate-term 38.2 to 50 Fib retracement zone. Re-evaluation occurs on a move through the 61.8. Targeting a Fib extension zone on the downside. Video walkthrough is available.,We closed below favorable. However the low to high  day today is indicating it may need some time to set up. Removing it after hours 2/15,Pending / Inactive,2024-02-15T21:49:35Z
693,SIL,Inactive,2024-02-15T15:48:34.823Z,Short-Term (1-3 weeks),24.01,Short,None,24.3 - 24.69,22.58 - 22.4,> 25.08,Weekly analysis suggests that Silver is in a corrective period. Momentum is negative. Daily analysis suggests that Silver is in a short-term corrective period. SlimRibbon and ReversalScout are bearishly configured on the daily. S-T low due 2/26 - 3/6. Expected failure at short-term resistances and move to re-test weekly cycle low. Video will be posted shortly.,SIL conditions have been satisfied. SIL has now traded to within 17c of the target and are inside of the cycle timing window.,Target Zone Reached,2024-02-26T21:37:07Z
692,EWW,Inactive,2024-02-08T17:40:20.715Z,Short-Term (1-3 weeks),67.67,Long,None,67.0 - 65.48,"69.64 - 71.68, 71.68 - 73.66",< 64.39,Weekly analysis suggests that EWW remains in a rising phase. Momentum is negative. Daily analysis suggests that EWW is in a rising phase. SlimRibbon and Reversal Scout daily are positive. There are short-term supports below current levels. Favorable is the 38.2 to 61.8. Re-evaluation occurs on a close below the 78.6. Targeting the prior daily cycle high and an intermediate-term 50-61.8 Fib extension. Trade idea walkthrough is available.,Scratching EWW - up around 1.6% from the favorable zone. Risk coming into the US market and therefore more cautious on long ideas in general right now.,Pending / Inactive,2024-02-20T14:49:08Z
691,XLP,Inactive,2024-02-07T20:19:27.040Z,Short-Term (1-3 weeks),73.87,Long,None,73.38 - 72.68,74.48 - 75.46,< 72.19,Weekly analysis suggests that the XLP is in a rising phase. Momentum is positive. Daily analysis suggests that XLP is due to form a low. Low is due 2/6 - 2/15. SlimRibbon and ReversalScout are configured positively. Favorable is a minor 38.2 to 61.8. Re-eval occurs on a close below minor 78.6. Targeting a short-term 127.2 - 161.8% Fib extension. This analysis was covered in the Stock Sectors Sector ETFs video on 2/6. Update 2/16 - lowering the target based on where the daily low formed - targeting now prior daily cycle high 74.48 to the 127.2% Fib extension 75.46.,Conditions for this idea have been satisfied. XLP traded into the favorable and has now traded into the revised target zone.,Target Zone Reached,2024-02-20T15:46:05Z
690,/ZB,Inactive,2024-02-07T14:57:51.028Z,Short-Term (1-3 weeks),121.09,Short,None,122.15 - 123.09,119.09 - 117.26,> 124.14,"Weekly analysis suggests that /ZB is in a corrective phase. Momentum is negative. Low due 1/29 - 3/25. Daily analysis suggests that /ZB is in a short-term corrective phase. SlimRibbon is neutral, ReversalScout is mildly positive. Favorable is the 50-61.8 retracement zone. Re-evaluation occurs on a move back over the 78.6. Targeting a short-term 78.6 - 100% Fib extension zone. This analysis was discussed in detail in today's FutureSpeak show. I will attach it to the trade idea for your review.",ZB is in the target zone. This missed favorable zone by ~ 1 pt.,Target Zone Reached (Early / Missed Entry),2024-02-13T14:36:01Z
689,/SB,Inactive,2024-02-07T11:34:57.275Z,Short-Term (1-3 weeks),23.99,Long,None,22.87 - 22.33,25.04 - 26.4,< 21.78,Weekly rising phase in place in Sugar Futures. Daily cycle low due shortly and a clear bull flag forming. Watching for supports to hold (shown as the favorable) and a resumption higher. Comparable ETF is CANE for those who do not have access to ICE.,After rallying up to the 61.8 retracement - we saw a sharp failure and now trade through re-eval in the front month May contract.,Re-evaluation Level Hit,2024-02-29T18:12:12Z
688,SQ,Inactive,2024-02-01T01:48:34.494Z,Short-Term (1-3 weeks),65.4,Short,None,67.2 - 68.87,59.57 - 56.9,> 70.53,Weekly analysis suggests that SQ is in a peaking phase. Momentum is now negative. Daily analysis suggests that SQ is in a peaking phase as well. SlimRibbon is slightly negative - you want to see an expansion in the ribbons to the downside (think in parallel with one another) followed by a swift move below the current daily cycle low 62.07. Favorable is a minor 38.2 to 50. Re-eval occurs on a close over a minor 61.8. Targeting a weekly 50% Fib retracement and base of a short-term Fib extension target zone. Level 4 members can download the grid from the chart grid archive and chart templates section on dashboard. Reward to Risk is ~ 2:1 on this trade idea.,SQ is holding sideways and not showing a strong reaction lower - clearing the board and will monitor.,Pending / Inactive,2024-02-02T14:59:36Z
687,CCL,Inactive,2024-01-29T15:05:48.457Z,Short-Term (1-3 weeks),16.18,Short,None,16.75 - 17.38,15.09 - 14.35,> 17.83,Weekly analysis suggests that CCL is in a corrective period. Momentum as per the weekly ReversalScout is negative. Daily analysis suggests that CCL is in a left hand translation. SlimRibbon and ReversalScout daily are negatively configured. There are falling minor resistances just above current levels. The favorable is the minor 50-78.6. Re-evaluation would occur on a move through the prior daily cycle high. Targeting a short-term 78.6 - 100% Fib extension zone in blue. The next mid-cycle low on the daily is due around mid-February. Level 4/4+ members: Grid is available for download from the chart grid archive and chart templates section on your dashboard. Level 3 members: please scroll down to see the trade idea screenshot. Video walkthrough is also available.,Removing CCL as it tests the base of the favorable. The action right now is not supportive of a left hand translation on the daily.,Pending / Inactive,2024-01-30T15:29:17Z
686,TOL,Inactive,2024-01-25T18:43:48.458Z,Short-Term (1-3 weeks),96.98,Short,None,98.45 - 100.31,91.49 - 87.0,> 102.43,Weekly analysis suggests that TOL is in a rising phase. Momentum remains positive. The stock was stalling out at a 127.2% Fib extension level and appeared poised for a pullback. Daily analysis suggests that TOL has lost the daily cycle low support. The SlimRibbon has now neutralized and the ReversalScout is negatively configured. There are minor resistances above current levels serving as the favorable zone. Re-eval occurs on a move through the short-term 78.6. Targeting the weekly 38.2 to 50% Fib retracement zone on the downside. Next daily low due 2/13 - 2/29. We have a number of stocks due to form lows around this same time period. Video walkthrough provided in the trade idea post.,TOL back below favorable this AM. Low odds at this point of hitting the target pre earnings.,Pending / Inactive,2024-02-02T14:36:29Z
685,PAVE,Inactive,2024-01-19T15:07:36.988Z,Short-Term (1-3 weeks),33.5,Long,None,33.39 - 32.92,34.93 - 35.05,< 32.45,Weekly analysis suggests that PAVE is in a rising phase. Momentum is positive. Minor low due around early January. Daily analysis indicates low due 1/17 - 1/29. SlimRibbon is neutral and ReversalScout is negative on the daily timeframe. Both of these need to turn positive to suggest a rising phase is underway. Favorable is drawn from the minor low on 11/28 to recent swing high. Re-evaluation is the 61.8. Targeting a move through daily cycle highs and to test a 50% Fib extension. Trade Idea walkthrough is available in the PAVE trade idea post.,Conditions for this idea have been satisfied. PAVE tested the favorable and has now traded to within 10c of the original target zone.,Target Zone Reached,2024-01-30T15:27:17Z
684,EWW,Inactive,2024-01-12T19:23:14.808Z,Intermediate-Term (3-8 weeks),66.43,Long,None,66.43 - 65.65,"68.71 - 69.72, 71.43 - 73.66",< 65.02,Weekly analysis suggests that EWW (iShares Mexico) - dominant weekly cycle is rising. Minor cycle low is due to form. The pattern structure is a bull flag. Daily analysis suggests that EWW was due to form a low and is attempting to turn up. SlimRibbon is neutral and ReversalScout daily is negative - both of these need to turn up to confirm low. S-T target is a 78.6 and prior cycle high. I-T target is a 50-61.8 Extension zone. If it closes below what is the expected daily cycle low - the long idea would be removed. Video reviews the analysis in detail.,EWW weekly flag failed for now. Daily low remains due to form.,Re-evaluation Level Hit,2024-01-16T20:38:30Z
683,OXY,Inactive,2024-01-11T20:08:57.167Z,Intermediate-Term (3-8 weeks),57.17,Short,None,58.29 - 59.35,56.02 - 54.63,> 60.09,Weekly analysis suggests that OXY may be forming an early cycle high. Momentum has now turned down. Next low due 4/22 - 6/3. Daily analysis suggests that OXY is in a short-term corrective period. SlimRibbon and ReversalScout are negative. There are falling minor resistances just above current levels. Targeting a 50-61.8 Fib extension zone on the downside. Next daily low due 2/2 - 2/14. Video walkthrough is posted to the site.,Conditions for this idea have been satisfied. OXY traded into the favorable and is now in the target.,Target Zone Reached,2024-01-17T14:31:50Z
682,AMZN,Inactive,2024-01-11T15:27:02.502Z,Short-Term (1-3 weeks),154.62,Long,None,152.16 - 150.61,156.87 - 160.36,< 149.06,"Weekly analysis suggests that AMZN is in a rising phase. Momentum remains positive. Daily analysis suggests that AMZN is in a short-term rising phase. Cycle structures are positive on both the weekly and daily timeframe. Rising minor supports serving as favorable zone. Re-eval is the 78.6. Targeting 127.2 - 161.8 Fib extension zone. Please review trade idea video for walkthrough. Update 1/18 - revised favorable, re-eval and targets based on recent price action.",Conditions for this idea have been satisfied. AMZN traded into favorable and has now traded into initial target zone.,Target Zone Reached,2024-01-22T14:31:34Z
681,LPX,Inactive,2024-01-09T14:29:32.368Z,Short-Term (1-3 weeks),69.91,Long,None,67.68 - 66.22,72.43 - 73.5,< 64.75,Weekly analysis suggests that LPX is in a rising phase (momentum is positive). Daily analysis suggests that LPX was due to form a low around early January. SlimRibbon is mildly positive and ReversalScout is negative (needs to turn up). Favorable is a short-term 38.2 to 50 retracement zone. Re-eval on a close below daily 61.8 Targeting prior cycle highs and short-term 61.8 extension level. Trade Idea walkthrough video is available. Level 4 members can download grid from  chart grid archive and chart templates section on dashboard.,LPX is testing the top of the favorable. The action has been lackluster in the short-term. We will watch to see if it can regain momentum.,Pending / Inactive,2024-01-17T14:35:24Z
680,AMD,Inactive,2024-01-08T17:54:14.366Z,Short-Term (1-3 weeks),145.8,Long,None,144.04 - 140.05,155.17 - 160.99,< 137.22,Weekly analysis suggests that AMD remains in a weekly rising phase. Momentum is positive. Daily analysis suggests that AMD was due to form a short-term low. The stock is turning up with NVDA and showing relative strength in the group. SlimRibbon and ReversalScout are positive. Favorable zone coincides with the rising daily SlimRibbon. Re-evaluation would occur on a daily close below the recent swing low. Targeting a short-term 61.8 - 78.6 fib extension zone. Level 4 members can download the grid from the chart grid archive and chart templates section on dashboard. Video walk through provided. Updated levels on 1/10 (Rising minor supports).,Conditions for this idea have been satisfied. AMD traded into favorable and is now in target,Target Zone Reached,2024-01-16T17:51:06Z
679,ROKU,Inactive,2024-01-04T17:22:00.043Z,Intermediate-Term (3-8 weeks),89.21,Short,None,94.55 - 97.28,81.93 - 75.58,> 100.0,Weekly analysis suggests that ROKU has entered into a corrective period. Weekly momentum is now negative. Next low due 2/19 - 4/1. Daily analysis suggests that ROKU is in a corrective period. SlimRibbon and ReversalScout daily are negatively configured. The next low is due 1/26 - 2/7. Favorable is a short-term 38.2 to 50. Re-eval is on a close over the daily 61.8. Targeting weekly 50-61.8% fib retracement zone. Please review the trade idea video for a walkthrough of the analysis.,ROKU is just below base of favorable. However we saw no response to the favorable zone and this suggests the market may want to test higher. Once this swing ends we will look again.,Pending / Inactive,2024-01-08T18:50:28Z
678,ORCL,Inactive,2023-12-21T19:57:34.217Z,Intermediate-Term (3-8 weeks),105.03,Short,None,106.29 - 108.47,99.87 - 96.02,> 110.64,Weekly analysis suggests that ORCL is forming an early intermediate-term high. Weekly momentum is now negative. Daily analysis suggests that ORCL is forming a bear flag. SlimRibbon and Reversal Scout are negative. Next short-term low due 1/5 - 1/18. Targeting the prior daily cycle low and short-term 61.8 Fib extension. Favorable zone is the short-term 38.2 to 50. Re-evaluation is the 61.8. Please review the video to see a walk through of the analysis.,ORCL was up as much as around 4% this AM vs favorable but has not hit the initial target zone. I have been cautioning on this for the past few days on the inability of the stock to move through the weekly 78.6. We remain well below favorable however price action is no longer supportive for the idea.,Pending / Inactive,2024-01-08T17:58:56Z
677,LIN,Inactive,2023-12-13T15:31:13.480Z,Intermediate-Term (3-8 weeks),410.0,Short,None,415.95 - 422.92,397.62 - 388.98,> 427.89,Weekly analysis suggests that LIN is in the peaking phase. Weekly low due 12/18 - 2/19. Daily analysis suggests a S-T peak is likely now forming as well. Daily low due 1/8 - 1/19. We are looking for a minor uptick to set up a favorable short side idea. Targeting the short-term 50-61.8.,With holiday trade in full force - we see LIN chopping sideways. We will inactivate and watch for a new setup after the new year.,Pending / Inactive,2023-12-29T18:51:07Z
676,XLC,Inactive,2023-12-11T01:59:40.677Z,Short-Term (1-3 weeks),70.48,Long,None,69.81 - 68.77,71.82 - 72.84,< 68.51,Weekly analysis suggests that XLC is in a rising phase (momentum is positive). We note that both GOOG/GOOGL and META (the two largest holdings by far in the XLC) - have just formed key daily lows. This is therefore supportive for the XLC and favors upside continuation. Favorable is a minor 38.2 to 61.8 drawn from the higher low on 11/6 to the high on 11/22. Re-evaluation is the cycle low on the daily timeframe. Targeting a short-term 38.2 to 50% Fib extension zone. I will review the XLC on Tuesday in Stock Sectors - please refer to that clip and reach out if you have questions.,Conditions for this idea have been satisfied. XLC traded into favorable and has now traded into our initial target zone.,Target Zone Reached,2023-12-18T15:21:33Z
675,CCJ,Inactive,2023-12-08T15:09:21.341Z,Short-Term (1-3 weeks),44.87,Long,None,44.04 - 43.21,46.76 - 47.58,< 42.37,Weekly analysis suggests that CCJ remains in a rising phase. Momentum is positive. Daily analysis suggests that CCJ is in a minor corrective period. SlimRibbon is close to turning neutral. Cycle structure remains positive and suggestive of a re-test of the recent swing high on 12/1. Favorable is a short-term 38.2 to 50. Re-evaluation occurs on a daily close below the 61.8. Targeting the prior daily cycle high and the top of a short-term Fib extension zone. Please review the trade idea video for a walkthrough of the analysis. Level 4 members: download the grid from the Chart Grid Archive and Chart Templates section on your dashboard.,conditions for this idea have been satisfied. CCJ tested the favorable zone (traded to within 7c) and then tested the target.,Target Zone Reached,2023-12-15T16:09:43Z
674,NUE,Inactive,2023-12-06T15:57:19.862Z,Short-Term (1-3 weeks),164.86,Long,None,160.0 - 156.22,172.81 - 174.92,< 152.46,Weekly analysis suggests that NUE is in a rising phase. Momentum is positive. Weekly low was due 10/2 - 11/20. Daily analysis suggests that NUE is in a short-term corrective period. Cycle structure is a right hand translation (rally for most of cycle and then brief pullback). Highest probability is for a re-test of 12/1 cycle high in the next rising phase. The favorable a short term 38.2-50. Re-evaluation occurs on a close below the 61.8. Targeting prior daily cycle highs from 12/1 and 9/1. Daily low is due 12/8 - 12/20.,"Conditions for idea have been satisfied. NUE traded into favorable and has now traded into the target. Please note this is not a ""sell signal"" - we are only inactivating this for tracking purposes.",Target Zone Reached,2023-12-15T16:10:32Z
673,CTVA,Inactive,2023-12-06T15:08:22.828Z,Short-Term (1-3 weeks),44.47,Short,None,44.85 - 45.49,43.22 - 42.57,> 46.41,Weekly analysis suggests that CTVA is in the late stages of a corrective period. There is a low due 11/20 - 1/8. Weekly momentum remains negative. Daily analysis suggests that CTVA is in a short-term corrective period. Next daily low due 12/19 - 1/2. SlimRibbon and Reversal Scout daily are negatively configured. There are falling minor resistances just above current levels that are serving as our favorable zone. Re-evaluation would occur on a close over the short-term 61.8. Targeting move to the prior daily cycle low and short-term 61.8 Extension. Please review the trade idea video for a walk through of the analysis.,CTVA has not traded to re-evaluation level however it is not showing the rejection of resistance as we had expected.,Pending / Inactive,2023-12-13T20:08:01Z
672,LVS,Inactive,2023-11-30T16:03:49.757Z,Short-Term (1-3 weeks),46.31,Short,None,47.09 - 47.74,45.2 - 43.77,> 48.38,Weekly analysis suggests that LVS is in a corrective period. Weekly momentum is positive.. Next low due 12/18 - 2/12. Daily analysis suggests that LVS is in a corrective period. We have lost the prior daily cycle low and highest odds suggest we are in a left hand translation (read this as a bearish cycle). Next daily low due 12/22 - 1/3. SlimRibbon is now negative. Reversal Scout daily is now negative. Favorable is the short-term 38.2 to 50 retracement. Re-eval on a close over the daily 61.8. Targeting the 78.6 and the prior daily cycle low. Video will walk through analysis in detail.,Conditions for this idea have been satisfied. LVS tested the favorable entry and is now in the first target zone. Overall target remains 43.77. For the purposes of the trade idea tracker - we will inactivate the idea. This is not an exit signal - that is for you to determine based on your style.,Target Zone Reached,2023-12-05T15:11:29Z
671,XBI,Inactive,2023-11-28T15:08:08.914Z,Short-Term (1-3 weeks),72.67,Long,None,70.89 - 69.76,74.68 - 75.52,< 68.63,Weekly analysis suggests that XBI is in a rising phase. Momentum is now positive. Cycle configuration remains negative (and suggestive of only a test of weekly resistances). Daily analysis suggests that XBI is in a short-term peaking phase and due for a modest dip. There are rising minor supports just below current levels. Targeting the prior daily cycle high and the minor 127.2% fib extension. Please review the XBI video for a walkthrough of the analysis.,XBI is in the target of the original idea. (only got to within 2% of favorable). Stock appears to be extending the existing short-term rising phase. We will watch this for a pullback and another long idea.,Target Zone Reached (Early / Missed Entry),2023-11-30T16:38:54Z
670,TSLA,Inactive,2023-11-27T19:51:03.500Z,Short-Term (1-3 weeks),236.0,Long,None,231.35 - 226.45,246.54 - 260.81,< 221.55,Weekly analysis suggests that TSLA is in a rising phase on the minor weekly cycle. Dominant remains in a corrective period. Daily analysis suggests that TSLA is forming a triangle into the minor daily low. The minor low is due around now. SlimRibbon and Reversal Scout remain positive.  Favorable is the short-term 38.2 to 50. Re-evaluation would occur on a close below the short-term 61.8. Targeting the int 61.8 and 78.6 retracements on the upside. Video is provided below.,TSLA broke out of triangle to the upside (this was the alternate scenario discussed in the video). Cybertruck release on Thursday likely an upcoming binary event for the stock.,Target Zone Reached (Early / Missed Entry),2023-11-29T15:42:19Z
669,FLR,Inactive,2023-11-22T15:21:49.546Z,Short-Term (1-3 weeks),37.2,Long,None,36.88 - 36.35,38.88 - 40.18,< 35.81,Weekly analysis suggests that FLR is in a rising phase. Momentum is now positive on the intermediate-term. Daily analysis suggests that FLR is in a short-term rising phase and forming a bull flag. The stock is testing a minor support zone drawn from the higher low on 11/8 to the recent swing highs. Favorable is the 38.2 to 50. Re-evaluation occurs on a daily close below the minor 61.8. Targeting a minor 78.6 - 100% Fib extension zone on the upside. Trade idea walk through posted below. Level 4 members can download the grid from the chart grid archive and chart template section on the dashboard.,FLR is in target,Target Zone Reached (Early / Missed Entry),2023-12-01T16:55:44Z
668,YUM,Inactive,2023-11-14T07:58:48.425Z,Short-Term (1-3 weeks),125.31,Long,None,123.58 - 121.55,128.87 - 132.35,< 120.11,Weekly analysis suggests that YUM is early in a rising phase. Momentum is now positive. Cycle structure is negative. Daily analysis suggests that YUM is forming a short-term basing cycle. SlimRibbon is now positively configured and it is important for it to remain so. Favorable is the minor 38.2 to 61.8. Re-eval is the 78.6. Targeting the short-term 78.6 and prior cycle high. Please review the video associated with this idea.,YUM is in target zone,Target Zone Reached (Early / Missed Entry),2023-11-22T15:50:20Z
667,XHB,Inactive,2023-11-07T05:36:02.642Z,Short-Term (1-3 weeks),76.44,Long,None,74.86 - 73.81,78.71 - 81.26,< 72.75,Weekly cycle analysis suggests that XHB was due to form a weekly low. Low was due 10/9 - 11/27. Momentum remains negative. Daily analysis suggests that XHB is in a short-term rising phase. SlimRibbon 2hr is positive (this is why it is called a momentum continuation trade idea). There are rising short-term supports below current levels. Favorable is the 38.2 to 50. Re-eval is the 61.8. Targeting short-term 61.8 and 78.6 on the upside. Level 4 members - download the grid from the chart grid archive and chart templates section on the dashboard.,XHB got within 1% of favorable and is now well through the upside target.,Target Zone Reached (Early / Missed Entry),2023-11-15T10:33:54Z
666,INDA,Inactive,2023-11-03T15:43:49.876Z,Intermediate-Term (3-8 weeks),44.11,Long,None,43.96 - 43.61,45.46 - 45.67,< 43.1,Weekly analysis suggests that INDA has a weekly low due. Low is due 09/25 - 11/13. Daily analysis suggests a late low has likely formed. Favorable is the short-term 50-61.8 retracement. Re-evaluation is the 78.6. Targeting the prior daily cycle high and short-term 100% Fib extension.,INDA traded to within 0.17% of the favorable and has since surged to the target. Please note this is just the initial target - we remain early in an intermediate-term rising phase.,Target Zone Reached (Early / Missed Entry),2023-11-28T19:01:43Z
665,GDX,Inactive,2023-10-27T13:01:51.385Z,Short-Term (1-3 weeks),28.52,Long,None,28.43 - 27.89,"29.73 - 30.13, 30.13 - 30.93",< 27.35,Weekly analysis suggests that GDX is in a bottoming phase. Weekly momentum is now positive. Daily analysis suggests that GDX is due to form a minor cycle low (low due end of Oct). SlimRibbon and reversal scout are positively configured. Testing a short-term support zone. Favorable is 38.2 to 50. Re-eval is the 61.8. Targeting a minor 61.8 Ext and prior daily cycle high. If it moves through that zone we have a weekly 50% Fib retrace as next target.,Conditions for this idea have been satisfied. GDX traded into favorable and has now traded into target,Target Zone Reached,2023-11-03T21:58:08Z
664,UNH,Inactive,2023-10-25T15:01:18.085Z,Short-Term (1-3 weeks),527.43,Long,None,518.26 - 509.45,540.8 - 546.78,< 500.64,Weekly analysis suggests that UNH is in a rising phase on the dominant cycle. There is an out of phase minor cycle low due around now. Momentum remains positive. Daily analysis suggests that the stock is in a minor corrective phase. Short-term low due 10/31 - 11/13. Expecting one more pullback to form the daily low. Favorable is the short-term 38.2 to 50. Re-eval on a close below the 61.8. Targeting the short-term 100% Fib extension and prior daily cycle high.,UNH got within 0.3% of favorable and has now traded into target.,Target Zone Reached (Early / Missed Entry),2023-11-11T03:41:28Z
